x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 10000 0.6572503596544266 15214902.28663833 100000 0 0
2 10000 0.5462020635604858 18308242.804528713 100000 0 0
4 10000 0.26115328073501587 38291688.20646251 100000 0 0
6 9996 0.19411705434322357 51494702.68761551 99960 0 0
8 10000 0.18653273582458496 53609892.95414603 100000 0 0
10 10000 0.8234348148107529 12144252.125528922 100000 0 0
12 9996 0.8437778800725937 11846719.659372918 99840 0 0
14 9996 1.7645638436079025 5664855.956450831 99960 0 0
16 10000 0.9367842227220535 10674816.844099464 99840 0 0
18 9990 1.2354273349046707 8086270.813144067 99720 0 0
20 10000 0.5092453211545944 19636901.08595862 100000 0 0
22 9988 0.3161892294883728 31588678.767336976 99880 0 0
24 9984 0.5842927843332291 17087323.800161816 99840 0 0
26 9984 0.45959092676639557 21723666.457572922 99840 0 0
28 9996 0.2093818038702011 47740538.17110425 99680 0 0
30 9990 0.20537152886390686 48643548.86611402 99600 0 0
32 9984 1.527373492717743 6536711.582073418 99840 0 0
34 9996 0.6247524172067642 15999938.094984248 99960 0 0
36 9972 1.0432716459035873 9558392.619175572 99360 0 0
38 9994 2.2348571568727493 4471874.17292686 99560 0 0
40 10000 2.6661720126867294 3750695.7362150447 100000 0 0
42 9996 0.42968355119228363 23263631.97349108 99960 0 0
44 9988 0.48842430114746094 20449432.955188908 99440 0 0
46 9982 0.8437998592853546 11829819.4650733 99360 0 0
48 9984 0.4956640303134918 20142676.06565164 99840 0 0
50 10000 2.3590639233589172 4238969.491662461 100000 0 0
52 9984 2.4693451821804047 4043177.1434985194 99840 0 0
54 9990 2.7053464204072952 3692687.902976945 99360 0 0
56 9968 2.6668451726436615 3737749.795995339 99680 0 0
58 9976 1.218223199248314 8188975.555674477 99760 0 0
60 9960 2.414003387093544 4125926.2738615386 99600 0 0
62 9982 0.9461808949708939 10549779.701805396 99200 0 0
64 9984 2.511981874704361 3974550.971302304 99840 0 0
