x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 100000 13.062138855457306 7655714.053156036 0.0 0.0 200000.0
2 100000 19.829222559928894 5043062.061448696 0.0 0.0 600000.0
4 100000 9932.618522644043 10067.838583755474 39120314.0 8109.4 196505512.4
8 100000 10980.335235595703 9107.190067915519 29308763.0 17226.8 265285898.8
16 100000 8915.534782409668 11216.377081193132 17190761.6 29522.2 294956107.4
24 99984 7866.476726531982 12710.13739388243 12029130.2 49431.2 304627607.2
32 100000 6584.848499298096 15186.378245552556 9233500.0 52940.4 309827278.6
40 100000 5448.896026611328 18352.34137550429 7443832.0 56143.4 311379860.6
48 99984 7573.373889923096 13202.041976698882 6333129.4 52487.2 317454379.4
56 99960 4979.890155792236 20072.731902275795 5290142.2 65533.0 309402445.2
64 99968 5752.764463424683 17377.384496720377 4764988.8 64203.4 319573979.4
