x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 100000 7.680933922529221 13019250.133982593 49970.0 1.0 356.0
2 100000 19.461306184530258 5138401.248703941 50141.2 1.0 1546.4
4 100000 50.79842433333397 1968564.9961071708 51082.5 23.7 8887.9
8 100000 77.58815288543701 1288856.5622596436 54046.6 75.6 38021.0
12 99996 92.43260994553566 1081825.9925682175 59397.7 117.6 87551.4
16 100000 100.888092815876 991197.2484453957 67602.9 188.4 170456.0
20 100000 105.67321851849556 946313.5636632228 78883.5 265.3 289470.8
24 99984 110.97296476364136 900976.1991396148 95626.1 408.2 496838.5
28 99988 115.69852456450462 864211.5392254147 107691.4 548.8 642192.2
32 100000 120.2292263507843 831744.5186600226 122833.7 684.4 808262.9
36 99972 123.18283095955849 811574.1391981913 150166.9 821.6 1189785.9
40 100000 124.70169961452484 801913.6893010905 172001.0 1019.6 1511517.3
44 99968 127.93045789003372 781424.5461853216 178658.2 911.3 1558483.9
48 99984 128.0863270163536 780598.5410701518 211194.6 1117.7 2043443.0
52 99996 134.32434350252151 744436.9158455846 250510.0 1476.5 2556126.5
56 99960 136.58456206321716 731854.3068852412 275834.6 1477.3 2799800.9
60 99960 138.07073831558228 723976.7181625826 302117.9 1535.9 3180099.0
64 99968 141.1798745393753 708089.5936914773 320799.5 1370.4 2980850.0
