x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 100000 7.732046395540237 12933186.750881234 0.0 0.0 0.0
2 100000 40.65355509519577 2459809.4746163413 0.0 0.0 0.0
4 100000 83.28949585556984 1200631.5919285598 0.0 0.0 0.0
8 100000 99.20452013611794 1008018.5848668044 0.0 0.0 0.0
12 100000 102.81207412481308 972648.4058535844 0.0 0.0 0.0
16 100000 115.41526392102242 866436.5232351681 0.0 0.0 0.0
20 100000 114.43934068083763 873825.3768771018 0.0 0.0 0.0
24 100000 116.30520299077034 859806.7621096515 0.0 0.0 0.0
28 100000 117.82591417431831 848709.7316474401 0.0 0.0 0.0
32 100000 118.43074336647987 844375.3467843516 0.0 0.0 0.0
36 100000 118.39120090007782 844657.3667615721 0.0 0.0 0.0
40 100000 119.54929083585739 836475.0581189244 0.0 0.0 0.0
44 100000 119.24942284822464 838578.4820717796 0.0 0.0 0.0
48 100000 119.91544589400291 833920.9286549557 0.0 0.0 0.0
52 100000 120.94024196267128 826854.6381018936 0.0 0.0 0.0
56 100000 120.11728510260582 832519.6487298113 0.0 0.0 0.0
60 100000 122.01595678925514 819564.9375000935 0.0 0.0 0.0
64 100000 122.49504253268242 816359.5679663477 0.0 0.0 0.0
