x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 100000 12.152258306741714 8228923.174264898 0.0 0.0 200000.0
2 100000 6.220633536577225 16075533.048523372 50565.7 0.0 108506.6
4 100000 4.373496025800705 22865003.057066202 25000.7 0.0 32459.1
8 100000 3.810618072748184 26242462.007713325 12500.7 0.0 13751.0
12 99996 3.3576518297195435 29781527.409991294 8333.0 0.0 8954.8
16 100000 3.601972758769989 27762564.21054896 6250.6 0.0 6738.5
20 100000 4.395844787359238 22748755.890463106 5000.1 0.0 5256.9
24 99984 3.1696870923042297 31543807.665669553 4167.1 0.0 4398.8
28 99988 3.373284637928009 29641139.344059672 3572.4 0.0 3825.2
32 100000 4.952209442853928 20193007.01110303 3125.4 0.0 3307.8
36 99972 5.00519722700119 19973638.49334208 2777.1 0.0 2913.0
40 100000 4.682572185993195 21355783.9640201 2500.0 0.0 2650.6
44 99968 5.960452556610107 16771880.834641669 2272.1 0.0 2408.9
48 99984 4.952084273099899 20190286.450317644 2083.2 0.0 2221.1
52 99996 7.563586533069611 13220712.100376746 1923.3 0.0 2201.1
56 99960 7.457631826400757 13403718.811396893 1785.0 0.0 1885.3
60 99960 4.404105991125107 22697001.43489586 1666.0 0.0 1800.8
64 99968 6.27937838435173 15920047.157712488 1562.1 0.0 1665.7
