x num_elems avg_time throughput num_CAS_success num_CAS_fails num_Steal
1 100000 11.327242851257324 8828273.686115947 0.0 0.0 0.0
2 100000 6.098593771457672 16397222.662708722 50526.7 0.0 107788.6
4 100000 9034.506893157959 11068.672721444522 39107878.7 4776.1 196504012.8
8 100000 6243.797874450684 16015.893212878515 29351927.6 2663.4 269437155.9
16 100000 4021.6755390167236 24865.258032339778 17213584.5 1265.4 315629280.2
24 99984 2883.694362640381 34672.19040108405 12116553.6 2138.5 355722489.2
32 100000 2275.2331733703613 43951.539196251884 9283567.1 2910.9 401009167.2
40 100000 1891.8172955513 52859.227069735985 7683924.0 3774.2 463042484.3
48 99984 1685.0427627563477 59336.179597275535 6596515.7 4323.6 537611834.0
56 99960 1521.2066650390625 65710.99265952346 5666783.4 4244.4 618042729.4
64 99968 1444.7723746299744 69192.90661658945 4981226.2 4559.3 714223418.2
